Resume_Text,Category
"I am a passionate Data Analyst with experience in Tableau, Power BI, NumPy, EDA, Statistics, Seaborn, Pandas, SQL, Python, Cleaning, Matplotlib, Data Visualization. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Communication",Data Analyst
"I am a passionate Designer with experience in InDesign, UI/UX, Illustrator, Sketch, Prototyping, Creative, Wireframing. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Team player",Designer
"I am a passionate Software Tester with experience in Regression Testing, Bug Tracking, QTP, Automation, JUnit, LoadRunner, Test Cases, PyTest, JIRA, Manual Testing. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Team player",Software Tester
"I am a passionate Python Developer with experience in Python, FastAPI, Flask, Django, Pandas, PyTorch, Scripting. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Degree in Computer Science",Python Developer
"I am a passionate Data Analyst with experience in Pandas, Data Visualization, Python, EDA, Power BI, Tableau. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Team player",Data Analyst
"I am a passionate Software Tester with experience in Manual Testing, JUnit, QTP, Regression Testing, LoadRunner, Test Cases, PyTest. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Degree in Computer Science",Software Tester
"I am a passionate Web Developer with experience in REST, CSS, Git, Backend, Node.js, API, Frontend, Django, SQL, Angular, Flask, Vue. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Degree in Computer Science",Web Developer
"I am a passionate Data Analyst with experience in Matplotlib, Tableau, EDA, Power BI, Cleaning, Python, SQL, Pandas, Seaborn, Data Visualization, Excel, Statistics, NumPy. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Team player",Data Analyst
"I am a passionate Software Tester with experience in PyTest, Regression Testing, JUnit, JIRA, Manual Testing, Automation, QTP, LoadRunner, Bug Tracking. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Hardworking",Software Tester
"I am a passionate Designer with experience in Sketch, Adobe XD, Creative, User Research, Photoshop, Wireframing, Figma, UI/UX. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Hardworking",Designer
"I am a passionate Software Tester with experience in JUnit, Test Cases, Selenium, Bug Tracking, LoadRunner. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Team player",Software Tester
"I am a passionate Data Analyst with experience in Excel, Pandas, Matplotlib, EDA, SQL, Statistics, Python, Power BI, NumPy, Cleaning, Tableau, Seaborn, Data Visualization. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Hardworking",Data Analyst
"I am a passionate Software Tester with experience in JIRA, PyTest, LoadRunner, Bug Tracking, Manual Testing, Selenium, Test Cases, QTP, Regression Testing, Automation. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Hardworking",Software Tester
"I am a passionate Designer with experience in Photoshop, UI/UX, Figma, Wireframing, Creative. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Communication",Designer
"I am a passionate Designer with experience in UI/UX, Prototyping, Creative, Adobe XD, Illustrator. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Communication",Designer
"I am a passionate Web Developer with experience in Vue, JavaScript, Django, SQL, HTML. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Degree in Computer Science",Web Developer
"I am a passionate Data Analyst with experience in Tableau, Seaborn, Python, Power BI, Excel, Pandas, Cleaning, EDA, NumPy, SQL, Matplotlib, Data Visualization, Statistics. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Hardworking",Data Analyst
"I am a passionate Designer with experience in Photoshop, Sketch, Prototyping, Creative, Wireframing, Illustrator, UI/UX. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Team player",Designer
"I am a passionate Designer with experience in Prototyping, Creative, UI/UX, Figma, Sketch, Photoshop, Adobe XD, Illustrator, Wireframing, User Research, InDesign. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Communication",Designer
"I am a passionate Software Tester with experience in Bug Tracking, QTP, Test Cases, PyTest, JUnit, Manual Testing, Selenium, LoadRunner. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Hardworking",Software Tester
"I am a passionate Java Developer with experience in JDBC, JSP, Multithreading, OOP, Spring, Gradle, Maven, Hibernate, Servlets. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Hardworking",Java Developer
"I am a passionate Designer with experience in User Research, Prototyping, Figma, UI/UX, Wireframing, InDesign, Photoshop, Illustrator. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Hardworking",Designer
"I am a passionate Python Developer with experience in Python, NumPy, Pandas, TensorFlow, FastAPI, Keras. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Team player",Python Developer
"I am a passionate Web Developer with experience in CSS, JavaScript, React, Vue, Backend, Flask. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Hardworking",Web Developer
"I am a passionate Python Developer with experience in Flask, Python, PyTorch, Keras, Automation, Pandas, Django, FastAPI. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Team player",Python Developer
"I am a passionate Java Developer with experience in J2EE, Servlets, Spring, Hibernate, Multithreading, Microservices, JSP, Java, Maven. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Communication",Java Developer
"I am a passionate Python Developer with experience in Python, Automation, Django, TensorFlow, Scikit-learn. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Problem solving",Python Developer
"I am a passionate Java Developer with experience in Gradle, Servlets, Java, Spring, Hibernate, OOP, Multithreading, J2EE, JSP, JDBC, Maven. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Communication",Java Developer
